x     y     xdelta ydelta
0.125 0.067e-3 0.002 0.003e-3
0.150 0.086e-3 0.002 0.003e-3
0.175 0.098e-3 0.002 0.002e-3
0.200 0.115e-3 0.002 0.005e-3
0.225 0.132e-3 0.002 0.002e-3
0.250 0.150e-3 0.002 0.001e-3
